FIPS,State,NAME
19001,IA,Adair
19003,IA,Adams
19005,IA,Allamakee
19007,IA,Appanoose
19009,IA,Audubon
19011,IA,Benton
19013,IA,Black Hawk
19015,IA,Boone
19017,IA,Bremer
19019,IA,Buchanan
19021,IA,Buena Vista
19023,IA,Butler
19025,IA,Calhoun
19027,IA,Carroll
19029,IA,Cass
19031,IA,Cedar
19033,IA,Cerro Gordo
19035,IA,Cherokee
19037,IA,Chickasaw
19039,IA,Clarke
19041,IA,Clay
19043,IA,Clayton
19045,IA,Clinton
19047,IA,Crawford
19049,IA,Dallas
19051,IA,Davis
19053,IA,Decatur
19055,IA,Delaware
19057,IA,Des Moines
19059,IA,Dickinson
19061,IA,Dubuque
19063,IA,Emmet
19065,IA,Fayette
19067,IA,Floyd
19069,IA,Franklin
19071,IA,Fremont
19073,IA,Greene
19075,IA,Grundy
19077,IA,Guthrie
19079,IA,Hamilton
19081,IA,Hancock
19083,IA,Hardin
19085,IA,Harrison
19087,IA,Henry
19089,IA,Howard
19091,IA,Humboldt
19093,IA,Ida
19095,IA,Iowa
19097,IA,Jackson
19099,IA,Jasper
19101,IA,Jefferson
19103,IA,Johnson
19105,IA,Jones
19107,IA,Keokuk
19109,IA,Kossuth
19111,IA,Lee
19113,IA,Linn
19115,IA,Louisa
19117,IA,Lucas
19119,IA,Lyon
19121,IA,Madison
19123,IA,Mahaska
19125,IA,Marion
19127,IA,Marshall
19129,IA,Mills
19131,IA,Mitchell
19133,IA,Monona
19135,IA,Monroe
19137,IA,Montgomery
19139,IA,Muscatine
19141,IA,O'Brien
19143,IA,Osceola
19145,IA,Page
19147,IA,Palo Alto
19149,IA,Plymouth
19151,IA,Pocahontas
19153,IA,Polk
19155,IA,Pottawattamie
19157,IA,Poweshiek
19159,IA,Ringgold
19161,IA,Sac
19163,IA,Scott
19165,IA,Shelby
19167,IA,Sioux
19169,IA,Story
19171,IA,Tama
19173,IA,Taylor
19175,IA,Union
19177,IA,Van Buren
19179,IA,Wapello
19181,IA,Warren
19183,IA,Washington
19185,IA,Wayne
19187,IA,Webster
19189,IA,Winnebago
19191,IA,Winneshiek
19193,IA,Woodbury
19195,IA,Worth
19197,IA,Wright
17001,IL,Adams
17003,IL,Alexander
17005,IL,Bond
17007,IL,Boone
17009,IL,Brown
17011,IL,Bureau
17013,IL,Calhoun
17015,IL,Carroll
17017,IL,Cass
17019,IL,Champaign
17021,IL,Christian
17023,IL,Clark
17025,IL,Clay
17027,IL,Clinton
17029,IL,Coles
17031,IL,Cook
17033,IL,Crawford
17035,IL,Cumberland
17037,IL,DeKalb
17039,IL,De Witt
17041,IL,Douglas
17043,IL,DuPage
17045,IL,Edgar
17047,IL,Edwards
17049,IL,Effingham
